synonym,drug_id,score,language,coder,source
α-toluenol,6776,good,english,,ChEBI
Besifloxacin,6777,good,english,inn,UNII
Cabazitaxel,6778,good,english/spanish,inn/usan,WHO MedNet
Cabazitaxelum,6778,good,latin,inn,ChEBI
Calcitonin (human synthetic),6779,good,english,,
Calcitonin (human),6779,good,english,,
Calcitonin human,6779,good,english,,
"Calcitonin, human",6779,good,english,,
"Calcitonin, human synthetic",6779,good,english,,
(E)-8-Methyl-N-vanillyl-6-nonenamide,6780,good,english,,
Capsaicin,6780,good,english,inn/jan/usp,UNII
Capsaicina,6780,good,spanish,,
Isodecenoic acid vanillylamide,6780,good,english,,
trans-8-Methyl-N-vanillyl-6-nonenamide,6780,good,english,,
(2S)-2-(carbamoylamino)pentanedioic acid,6781,good,english,,ChEBI
(S)-2-ureidopentanedioic acid,6781,good,english,,
Acide carglumique,6781,good,french,inn,ChEBI
ácido carglúmico,6781,good,spanish,inn,WHO MedNet
Acidum carglumicum,6781,good,latin,inn,ChEBI
Carbamino-L-glutamic acid,6781,good,english,,ChEBI
Carbamylglutamic acid,6781,good,english,,ChEBI
Carglumic acid,6781,good,english,inn/jan/usan,UNII
L-N-Carbamoylglutamic acid,6781,good,english,,ChEBI
N-Carbamoyl-L-Glutamic Acid,6781,good,english,,
N-Carbamyl-L-glutamate,6781,good,english,,
N-Carbamylglutamate,6781,good,english,,
Ureidoglutaric acid,6781,good,english,,ChEBI
"Cellulose dihydrogen phosphate, disodium salt",6782,good,english,,
Cellulose disodium phosphate,6782,good,english,,
Cellulose sodium phosphate,6782,good,english,,
"3alpha,7alpha-Dihydroxy-5beta-cholanic acid",6783,good,english,,ChEBI
7α-hydroxylithocholic acid,6783,good,english,,ChEBI
Acide chenodeoxycholique,6783,good,french,inn,
Acido chenodeoxicholico,6783,good,spanish,inn,
Acidum chenodeoxycholicum,6783,good,latin,inn,
Anthropodeoxycholic acid,6783,good,english,,ChEBI
Anthropodesoxycholic acid,6783,good,english,,ChEBI
CDCA,6783,good,english,,ChEBI
Chenic acid,6783,good,english,,ChEBI
Chenocholic acid,6783,good,english,,
Chenodeoxycholate,6783,good,english,,
Chenodeoxycholic acid,6783,good,english,inn/jan,ChEBI
Chenodesoxycholic acid,6783,good,english,,
Chenodiol,6783,good,english,usan,
Gallodesoxycholic acid,6783,good,english,,ChEBI
Copper monosulfate,6784,good,english,,
Copper monosulphate,6784,good,english,,
Copper sulfate,6784,good,english,,
Copper sulfate (1:1),6784,good,english,,
Copper sulphate,6784,good,english,,
Copper(2+) sulfate,6784,good,english,iupac,
Copper(II) sulphate,6784,good,english,,
Cupric sulfate anhydrous,6784,good,english,,
"Cupric sulfate, anhydrous",6784,good,english,,
Cupric sulphate anhydrous,6784,good,english,,
"Cupric sulphate, anhydrous",6784,good,english,,
alpha-heparin,6785,good,english,,
11-deoxycorticosterone acetate,6786,good,english,,
Deoxycorticosterone acetate,6786,good,english,,
Desoxycorticosterone acetate,6786,good,english,usp,UNII
Desoxycorticosterone-21-acetate,6786,good,english,,
Desoxycortone acetate,6786,good,english,inn,
DOCA,6786,good,english,,
DFBA,6787,good,english,,
Difluoroprednisolone butyrate acetate,6787,good,english,,
Difluprednate,6787,good,english,inn/jan/usan,UNII
"1,2-dimercapto-3-propanol",6788,good,english,,ChEBI
"1,2-dithioglycerol",6788,good,english,,ChEBI
"2,3-dimercapto-1-propanol",6788,good,english,,ChEBI
"2,3-dimercaptol-1-propanol",6788,good,english,,ChEBI
"2,3-dimercaptopropanol",6788,good,english,,
"2,3-dithiopropanol",6788,good,english,,ChEBI
"2,3-mercaptopropan-1-ol",6788,good,english,,ChEBI
"2,3-Mercaptopropanol",6788,good,english,,ChEBI
"3-hydroxy-1,2-propanedithiol",6788,good,english,,ChEBI
BAL,6788,good,english,,
British anti-lewisite,6788,good,english,,
British antilewisite,6788,good,english,,ChEBI
Dimercaprol,6788,good,english,inn/jan/usp,UNII
Dimercaprolum,6788,good,latin,inn,ChEBI
Dimercaptopropanol,6788,good,english,,ChEBI
Dithioglycerine,6788,good,english,,ChEBI
Dithioglycerol,6788,good,english,,ChEBI
Sulfactin,6788,good,english,,ChEBI
"α,β-dithioglycerol",6788,good,english,,ChEBI
Berlin blue,6789,good,english,,
Ferric ferrocyanide,6789,good,english,,
Ferric hexacyanoferrate,6789,good,english,,
Ferric hexacyanoferrate(II),6789,good,english,,
Ferrocin,6789,good,english,,
Iron(III) ferrocyanide,6789,good,english,,
Iron(III) hexacyanoferrate(II),6789,good,english,,
Paris blue,6789,good,english,,
Parisian blue,6789,good,english,,
Prussian blue insoluble,6789,good,english,,
Gallium (67 Ga) citrate,6790,good,english,,
Gallium citrate Ga 67,6790,good,english,usan,
Gallium citrate Ga-67,6790,good,english,,
Gallium-67 Citrate,6790,good,english,,
Ganirelix,6791,good,english,inn,UNII
"(4aS,4bR,5S,6aS,6bS,9aR,10aS,10bS)-6b-(chloroacetyl)-4b-fluoro-5-hydroxy-4a,6a,8,8-tetramethyl-3,4,4a,4b,5,6,6a,6b,9a,10,10a,10b,11,12-tetradecahydro-2H-naphtho[2',1':4,5]indeno[1,2-d][1,3]dioxol-2-one",6792,good,english,iupac,
Halcinonid,6792,good,german,inn,
Halcinonida,6792,good,spanish,inn,
Halcinonide,6792,good,english/french,inn/jan/usan/usp,UNII
Halcinonidum,6792,good,latin,inn,
"[(im-Bzl)-D-His6,Pro9-NEt]-gonadotropin releasing hormone",6794,good,english,,
5-oxo-L-prolyl-L-histidyl-L-tryptophyl-L-seryl-L-tyrosyl-1-benzyl-D-histidyl-L-leucyl-L-arginyl-N-ethyl-L-prolinamide,6794,good,english,iupac,
5-oxo-L-prolyl-L-histidyl-L-tryptophyl-L-seryl-L-tyrosyl-Nτ-benzyl-D-histidyl-L-leucyl-L-arginyl-N-ethyl-L-prolinamide	,6794,good,english,,
Histrelin,6794,good,english,inn,
histrelina,6794,good,spanish,inn,
histreline,6794,good,french,inn,
histrelinum,6794,good,latin,inn,
L-pyroglutamyl-L-histidyl-L-tryptophyl-L-seryl-L-tyrosyl-D-Nim-benzyl-histidyl-L-leucyl-L-arginyl-L-proline ethylamide,6794,good,english,,
17-alpha-hydroxy-progesterone caproate,6795,good,english,,
"17alpha-Caproyloxypregn-4-ene-3,20-dione",6795,good,english,,
17alpha-Hydroxyprogesterone hexanoate,6795,good,english,,
Caproate d'hydroxyprogesterone,6795,good,french,,
Caproato de hidroxiprogesterona,6795,good,spanish,,
Hydroxyprogesterone caproate,6795,good,english,inn/jan/usp,UNII
Hydroxyprogesterone hexanoate,6795,good,english,,
Lanreotida,6797,good,spanish,,
Lanreotide,6797,good,english,inn,UNII
Lanthanum (III) carbonate,6798,good,english,,
Lanthanum carbonate anhydrous,6798,good,english,,
Lanthanum sesquicarbonate,6798,good,english,,
Lanthanum(3+) carbonate,6798,good,english,,
(-)-Propoxyphene,6799,good,english,,
(l)-Propoxyphene,6799,good,english,,
levopropoxifeno,6799,good,spanish,inn,WHO MedNet
Levopropoxyphene,6799,good,english,inn,UNII
Lodoxamida,6800,good,spanish,,
Lodoxamide,6800,good,english,inn,UNII
"N,N'-(2-chloro-5-cyano-m-phenylene)dioxamate",6800,good,english,,
4-(aminomethyl)benzenesulfonamide,6801,good,english,iupac,
4-Homosufanilamide,6801,good,english,,
Bensulfamide,6801,good,english,,
Mafenide,6801,good,english,inn/usan,UNII
Maphenidum,6801,good,english,,
Mangafodipir,6802,good,english,inn,UNII
"2-Methyl-2-sec-butyl-1,3-propanediol dicarbamate",6803,good,english,,
"2-sec-Butyl-2-methyl-1,3-propanediol dicarbamate",6803,good,english,,
"2-sec-Butyl-2-methylpropane-1,3-diyl dicarbamate",6803,good,english,iupac,
2-sec-Butyl-2-methyltrimethylene dicarbamate,6803,good,english,,
"2,2-Dicarbamyloxymethyl-3-methylpentane",6803,good,english,,
Dicamoylmethtane,6803,good,english,,
Mebutamate,6803,good,english,inn/jan/usan,UNII
Mebutamato,6803,good,spanish,,
Mebutamatum,6803,good,latin,,
"1,3,5,7-tetraazatricyclo[3.3.1.13,7]decane",6805,good,english,iupac,
Hexamethylenamine,6805,good,english,,
Hexamethylene tetramine,6805,good,english,,
Hexamethylenetetramine,6805,good,english,,
Hexamethylentetramin,6805,good,german,,
Hexamethylentetraminum,6805,good,latin,,
Hexamine,6805,good,english,,
Hexaminum,6805,good,latin,,
HMT,6805,good,english,,
HMTA,6805,good,english,,
metenamina,6805,good,spanish,inn,
Methenamine,6805,good,english,inn/usp,UNII
méthénamine,6805,good,french,inn,
methenaminum,6805,good,latin,inn,
MNTX,6806,good,english,,
1-Monocaprylin,6807,good,english,,
"2,3-Dihydroxypropyl octanoate",6807,good,english,,
Caprylic acid α-monoglyceride,6807,good,english,,
Monooctanoin,6807,good,english,,
Octanoic acid 1-monoglyceride,6807,good,english,,
2-amino-3-benzoylbenzeneacetamide,6808,good,english,,ChEBI
Népafénac,6808,good,french,inn,
Nepafenac,6808,good,english,inn/jan/usan,UNII
Nepafenaco,6808,good,spanish,inn,WHO MedNet
Nepafenacum,6808,good,latin,inn,ChEBI
Niclosamide,6809,good,english,inn/usan,UNII
"26-(Nonylphenoxy)-3,6,9,12,15,18,21,24-octaoxahexacosan-1-ol",6810,good,english,,ChEBI
Nonaethylene glycol mono(nonylphenyl) ether,6810,good,english,,ChEBI
Nonaethylene glycol nonylphenyl ether,6810,good,english,,ChEBI
Nonoxynol 9,6810,good,english,,ChEBI
Nonylphenol octa(oxyethylene) ethanol,6810,good,english,,ChEBI
P-Nonylphenyl polyethylene glycol ether,6810,good,english,,ChEBI
PEG-9 nonyl phenyl ether,6810,good,english,,ChEBI
Polyoxyethylene (9) nonyl phenyl ether,6810,good,english,,ChEBI
Tergitol NP-9,6810,good,english,,
Tergitol NP9,6810,good,english,,ChEBI
Fenamisal,6813,good,english,,
Fenamisalum,6813,good,latin,,
p-Aminosalol,6813,good,english,,
Phenyl 4-aminosalicylate,6813,good,english,,
Phenyl aminosalicylate,6813,good,english,usan,UNII
Phenyl PAS,6813,good,english,,
Plerixafor,6815,good,english,inn/jan/usan,UNII
Aureolic acid,6816,good,english,,ChEBI
Mithramycin,6816,good,english,,ChEBI (KEGG COMPOUND)
Mithramycine,6816,good,french,inn,ChEBI
Mithramycinum,6816,good,latin,inn,ChEBI
Plicamicina,6816,good,spanish,inn,
Plicamycin,6816,good,english,inn/usan/usp,ChEBI
Plicamycine,6816,good,french,,ChEBI
Plicamycinum,6816,good,latin,,ChEBI
Aethoxy-sklerol,6817,good,english,,
Laureth 9,6817,good,english,,
Laureth-9,6817,good,english,,
Macrogol 9 lauryl ether,6817,good,english,,
Nonaethylene glycol monododecyl ether,6817,good,english,,
Nonaethylene glycol monolauryl ether,6817,good,english,,
PEG-9 lauryl ether,6817,good,english,,
Polidocanol,6817,good,english,jan,UNII
Polydocanol,6817,good,english,,
Polyethylene glycol 450 lauryl ether,6817,good,english,,
Polyoxyl 9 lauryl ether,6817,good,english,,
Iodopovidone,6818,good,english,,
Povidone iodine,6818,good,english,,
Povidone-iodine,6818,good,english,ban/jan/usp,UNII
"Povidone, iodinated",6818,good,english,,
PVP-I,6818,good,english,,
"(2S)-2-((4-((1RS)-1-((2,4-Diaminopteridin-6-yl)methyl)but-3-ynyl)benzoyl)amino)pentanedioic acid",6819,good,english,,ChEBI
"(2S)-2-({4-[1-(2,4-diaminopteridin-6-yl)pent-4-yn-2-yl]benzoyl}amino)pentanedioic acid",6819,good,english,,ChEBI
10-Propargyl-10-deazaaminopterin,6819,good,english,,ChEBI
"N-(4-(1-((2,4-Diamino-6-pteridinyl)methyl)-3-butynyl)benzoyl)-L-glutamic acid",6819,good,english,,ChEBI
PDX,6819,good,english,,
Pralatrexate,6819,good,english/french,inn/jan/usan,UNII
Pralatrexato,6819,good,spanish,inn,WHO MedNet
Pralatrexatum,6819,good,latin,inn,ChEBI
Protokylol,6820,good,english,inn,UNII
Protokylolum,6820,good,latin,,
Protoquilol,6820,good,spanish,,
2-pyridinethiol 1-oxide,6821,good,english,,
Omadine,6821,good,english,,
Pyridinethiol N-oxide,6821,good,english,,
Raltegravir,6823,good,english,inn,UNII
4-Phenyl-n-butyric acid,6825,good,english,,
4-phenylbutyrate,6825,good,english,,
4-phenylbutyric acid,6825,good,english,,
Benzenebutyric acid,6825,good,english,,
PBA,6825,good,english,,
Phenylbutyrate,6825,good,english,,
γ-Phenyl-n-butyric acid,6825,good,english,,
γ-phenylbutyric acid,6825,good,english,,
ω-Phenylbutanoic acid,6825,good,english,,
ω-phenylbutyric acid,6825,good,english,,
Sulconazole,6826,good,english,inn,UNII
Sulfa-5-methoxypyrimidine,6827,good,english,,
Sulfameter,6827,good,english,usan,UNII
Sulfamethoxydiazine,6827,good,english,,
Sulfametoxidiazina,6827,good,spanish,inn,
Sulfametoxydiazine,6827,good,english,inn,
Sulfametoxydiazinum,6827,good,latin,inn,
Tinzaparin sodium,6828,good,english,,
Tinzaparina,6828,good,spanish,,
Tiopronin,6829,good,english,inn/jan/dcf,UNII
Tiopronine,6829,good,french,inn,
Tiopronino,6829,good,spanish,inn,
Tioproninum,6829,good,latin,inn,
TETA,6830,good,english,,
Trien,6830,good,english,,
Trientine,6830,good,english,,
(6-D-Tryptophan)luteinizing hormone-releasing hormone,6831,good,english,,
(D-Trp6)-GnRH,6831,good,english,,
"Luteinizing hormone-releasing factor (pig), 6-D-tryptophan",6831,good,english,,
pGlu-His-Trp-Ser-Tyr-D-Trp-Leu-Arg-Pro-Gly-NH2	,6831,good,english,,
Triptorelin,6831,good,english,inn/usan,UNII
Triptorelina,6831,good,spanish,inn,
Triptoreline,6831,good,french,inn,
Triptorelinum,6831,good,latin,inn,
"13,14-dihydro-15-keto-20-ethyl PGF2α",6832,good,english,,
Unoprostone,6832,good,english,inn,UNII
Vinacetin A,6833,good,english,,
Viomicina,6833,good,spanish,inn,ChemIDplus
Viomycin,6833,good,english,inn/ban,UNII
Viomycine,6833,good,french,inn,
Viomycinum,6833,good,latin,inn,
Prinaberel,6838,good,english,inn/usan,UNII
(S)-phenylalanine methyl ester,6844,good,english,,
Methyl 3-phenyl-L-alaninate,6844,good,english,,
Phenylalanine methyl ester,6844,good,english,,
Decane-1-sulfonic acid,6899,good,english,,
Dodecan-1-ol,6900,good,english,,
Dodecanol,6900,good,english,,
Dodecyl alcohol,6900,good,english,,
Dodecylalcohol,6900,good,english,,
Lauroyl alcohol,6900,good,english,,
Lauryl alcohol,6900,good,english,,
Undecyl carbinol,6900,good,english,,
"4-(alpha,alpha-Dimethylbenzyl)phenol",6908,good,english,,
4-Cumylphenol,6908,good,english,,
Eribaxaban,6926,good,english,inn/usan,UNII
eribaxabán,6926,good,spanish,inn,WHO MedNet
"4,4'-Bisphenol A",6979,good,english,,
"4,4'-Isopropylidenediphenol",6979,good,english,,
Bisphenol-A,6979,good,english,,
BPA,6979,good,english,,
Dianin's compound,6979,good,english,,
"Benzylation of mannostatin A, 1b",6990,good,english,,
(+)-Atenolol,6993,good,english,,
(R)-(+)-Atenolol,6993,good,english,,
"N-[3-(5-chloro-1H-pyrrolo[2,3-b]pyridine-3-carbonyl)-2,4-difluorophenyl]propane-1-sulfonamide",7005,good,english,,
Lidorestat,7069,good,english,inn/usan,UNII
2-[(3-hydroxyphenyl)formamido]acetic acid,7075,good,english,,
3-hydroxyhippuric acid,7075,good,english,,
N-m-Hydroxylbenzoylglycine,7075,good,english,,
Homodimaprit,7112,good,english,,
Hesperetic acid,7115,good,english,,
Isoferulic acid,7115,good,english,,
himecromona,7124,good,spanish,inn,ChemIDplus
Hymecromone,7124,good,english,inn/usan,UNII
Neflamapimod,7144,good,english,inn/usan,UNII
"6-({5-fluoro-2-[(3,4,5-trimethoxyphenyl)amino]pyrimidin-4-yl}amino)-2,2-dimethyl-2H-pyrido[3,2-b][1,4]oxazin-3(4H)-one",7165,good,english,,
1-Amino-5-naphthalenesufonic acid,7182,good,english,,
1-Amino-5-sulfonaphthalene,7182,good,english,,
5-Naphthylamine-1-sulfonic acid,7182,good,english,,
Laurent acid,7182,good,english,,
(2R)-2-(7-carbamoyl-1H-benzimidazol-2-yl)-2-methylpyrrolidinium,7238,good,english,,
2-((2R)-2-methylpyrrolidin-2-yl)-1H-benzimidazole-4-carboxamide,7238,good,english,,
Veliparib,7238,good,english,inn/usan,UNII
Nesbuvir,7244,good,english,inn/usan,UNII
9-Azafluorene,7307,good,english,,
9H-Carbazole,7307,good,english,,
Dibenzopyrrole,7307,good,english,,
Diphenylenimide,7307,good,english,,
"(9S,10E,12Z)-9-hydroxyoctadeca-10,12-dienoic acid",7308,good,english,,
9S-Hode,7308,good,english,,
alpha-Dimorphecolic acid,7308,good,english,,
trans-4-(7-carbamoyl-1H-benzimidazol-2-yl)-1-propylpiperidinium,7336,good,english,,
(4-nitrophenyl)acetic acid,7337,good,english,,
2-(p-nitrophenyl)acetic acid,7337,good,english,,
4-nitrobenzeneacetic acid,7337,good,english,,
4-nitrophenylacetic acid,7337,good,english,,
2-(4-morpholinoanilino)-6-cyclohexylaminopurine,7346,good,english,,
(+)-brefeldin A,7354,good,english,,
Ascotoxin,7354,good,english,,
Cyanein,7354,good,english,,
Decumbin,7354,good,english,,
Nectrolide,7354,good,english,,
Synergisidin,7354,good,english,,
(S)-2-Amino-3-(naphthalen-1-yl)propanoic acid,7371,good,english,,
L-beta-(1-Naphthyl)alanine,7371,good,english,,
Naphthalen-2-yl-3-alanine,7371,good,english,,
3-(10-methyl-9-anthryl)propionic acid,7377,good,english,,
3-(10-METHYL-ANTHRACEN-9-YL)-PROPIONIC ACID,7377,good,english,,
1-Dehydroandrostenedione,7379,good,english,,
"1,4-Androstadiene-3,17-dione",7379,good,english,,
"Androsta-1,4-diene-3,17-dione",7379,good,english,,
Androstadienedione,7379,good,english,,
"5beta-androstane-3,17-dione",7381,good,english,,
"5β-androstane-3,17-dione",7381,good,english,,
"Etiocholane-3,17-dione",7381,good,english,,
(S)-(+)-Atrolactic acid,7387,good,english,,
(S)-2-Hydroxy-2-phenylpropanoic acid,7387,good,english,,
(S)-2-Phenyllactic acid,7387,good,english,,
(S)-atrolactic acid,7387,good,english,,
"1,2-Dihydro-3-dimethylamino-7-methyl-1,2-(propylmalonyl)-1,2,4-benzotriazine",7408,good,english,,
"3-Dimethylamino-7-methyl-1,2-(n-propylmalonyl)-1,2-dihydro-1,2,4-benzotriazine",7408,good,english,,
"5-(Dimethylamino)-9-methyl-2-propyl-1H-pyrazolo(1,2-a)(1,2,4)benzotriazine-1,3(2H)-dione",7408,good,english,,
Apazone,7408,good,english,usan,
Azapropazon,7408,good,german,,
Azapropazona,7408,good,spanish,inn,ChemIDplus
Azapropazone,7408,good,english,inn,ChEMBL
Azapropazonum,7408,good,latin,inn,
"(1-hydroxy-1-phosphono-2-[1,1';3',1'']terphenyl-3-yl-ethyl)-phosphonic acid",7410,good,english,,
(+)-S-23,7425,good,english,,
(2S)-3-(4-Chloro-3-fluorophenoxy)-N-(4-cyano-3-(trifluoromethyl)phenyl)-2-hydroxy-2-methylpropanamide,7425,good,english,,
CCTH-methylpropionamide,7425,good,english,,
(2S)-3-(4-acetamidophenoxy)-2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,7429,good,english,,
Sobetirome,7431,good,english,inn/usan,UNII
5-Bacu,7443,good,english,,
5-benzyl-1-(2-hydroxyethoxymethyl)uracil,7443,good,english,,
"(5β,17β)-17-hydroxyandrostan-3-one",7453,good,english,,
"(5β,8α,17β)-17-hydroxyandrostan-3-one",7453,good,english,,
17β-hydroxyetiocholan-3-one,7453,good,english,,
5-beta-DHT,7453,good,english,,
5β-androstan-17β-ol-3-one,7453,good,english,,
5β-dihydrotestosterone,7453,good,english,,
"5β,17β-hydroxyandrostan-3-one",7453,good,english,,
etiocholan-17-beta-ol-3-one,7453,good,english,,
"2-phenyl-4H-naphtho(1,2-b)pyran-4-one",7459,good,english,,
"7,8-benzoflavone",7459,good,english,,
α-naphthylflavone,7459,good,english,,
(+)-Indapamide,7473,good,english,,
"3-(Aminosulfonyl)-4-chloro-N-((2S)-2,3-dihydro-2-methyl-1H-indol-1-yl)benzamide",7473,good,english,,
Felbinac,7483,good,english,inn/jan/usan,UNII
"4-Phenyl-1,2-benzenediol",7484,good,english,,
4-Phenylcatechol,7484,good,english,,
4-Phenylpyrocatechol,7484,good,english,,
"Biphenyl-3,4-diol",7484,good,english,,
"4,4'-cyclohexane-1,1-diyldiphenol",7491,good,english,,
"4,4'-cyclohexylidenebisphenol",7491,good,english,,
Antigene W,7491,good,english,,
Bis-Z,7491,good,english,,
"(2Z)-5'-bromo-2,3'-biindole-2',3(1H,1'H)-dione ammoniate",7499,good,english,,
Carbanilide,7502,good,english,,
Diphenylcarbamide,7502,good,english,,
Diphenylurea,7502,good,english,,
N-phenyl-N'-phenylurea,7502,good,english,,
"N,N'-diphenylurea",7502,good,english,,
s-diphenylurea,7502,good,english,,
sym-diphenylurea,7502,good,english,,
Biotin aldehyde,7503,good,english,,
"(3S)-3-Chloro-4-[2-[(5-chloro-1-benzothiophen-3-yl)methylamino]ethyl]-6-[2-[(2R)-piperidin-2-yl]ethylamino]-3,5-dihydro-2H-pyrazin-5-ol",7527,good,english,,
(-)-Carazolol,7549,good,english,,
"5beta-pregnane-3,20-dione",7563,good,english,,
"5β-pregnane-3,20-dione",7563,good,english,,
Ac-Leu-leu-nle-al,7564,good,english,,
Acetyl-leucyl-leucyl-norleucine-aldehyde,7564,good,english,,
Acetylleucyl-leucyl-norleucinal,7564,good,english,,
N-Ac-Leu-leu-norleucinal,7564,good,english,,
N-acetylleucylleucylnorleucinal,7564,good,english,,
Chloramphenicol hemisuccinate,7571,good,english,,
"2,4-Diamino-6-ethyl-5-phenylpyrimidine",7583,good,english,,
"1,2-Naphthalenediol",7616,good,english,,
"1,2-naphthohydroquinone",7616,good,english,,
beta-Naphthohydroquinone,7616,good,english,,
"Naphthalene-1,2-diol",7616,good,english,,
β-naphthohydroquinone,7616,good,english,,
"N-(3,4-Dimethoxycinnamoyl)anthranilic acid",7621,good,english,,
Tranilast,7621,good,english/spanish/french,inn/jan/usan,UNII
Tranilastum,7621,good,latin,inn,
Dodecylbetaine,7637,good,english,,
Lauryl dimethyl glycine,7637,good,english,,
Lauryl-N-betaine,7637,good,english,,
Laurylbetain,7637,good,english,,
"(2,6-Xylyloxy) acetic acid",7640,good,english,,
"4,4-Dihydroxybenzophenone",7641,good,english,,
"4,4'-Dihydroxydiphenyl ketone",7641,good,english,,
Bis(4-hydroxyphenyl) ketone,7641,good,english,,
Bis(p-hydroxy)benzophenone,7641,good,english,,
"p,p'-Dihydroxybenzophenone",7641,good,english,,
"3,5-dibromo-L-tyrosine",7643,good,english,,
"1,10-decanedioic acid",7651,good,english,,
"1,8-dicarboxyoctane",7651,good,english,,
Decanedioic acid,7651,good,english,,
Sebacinsäure,7651,good,german,,
n-Decyl methanoate,7656,good,english,,
"1,6-dihydroxynaphthalene",7667,good,english,,
"2,5-dihydroxynaphthalene",7667,good,english,,
"2,5-naphthalenediol",7667,good,english,,
6-hydroxy-1-naphthol,7667,good,english,,
"Naphthalene-1,6-diol",7667,good,english,,
4-[(3-bromophenyl)amino]-6-acrylamidoquinazoline,7668,good,english,,
CDK1/2 inhibitor III,7670,good,english,,
3-(4-diethylamino-2-hydroxy-phenyl)-2-methyl-propionic acid,7674,good,english,,
alpha-MHDAC,7674,good,english,,
"2,3-Dimethylnaphthoquinone",7675,good,english,,
(S)-2-Benzylpropanoic acid,7679,good,english,,
Deamino-methyl-phenylalanine,7679,good,english,,
(+)-Econazole,7711,good,english,,
"(17β)-estra-1,3,5(10)-triene-2,3,17-triol",7712,good,english,,
2-hydroxy-17beta-estradiol,7712,good,english,,
2-hydroxy-17β-estradiol,7712,good,english,,
2-Hydroxyestradiol-17beta,7712,good,english,,
2-OH-Estradiol,7712,good,english,,
"1,3,8-trihydroxy-6-methyl-9,10-anthracenedione",7721,good,english,,
"1,3,8-trihydroxy-6-methyl-9,10-anthraquinone",7721,good,english,,
Schuttgelb,7721,good,english,,
(4-hydroxyphenyl)pyruvic acid,7724,good,english,,
(p-hydroxyphenyl)pyruvic acid,7724,good,english,,
p-Hydroxyphenylpyruvic acid,7724,good,english,,
(+)-epibatidine,7726,good,english,,
"(1R,2R,4S)-epibatidine",7726,good,english,,
Indeglitazar,7730,good,english,inn/usan,UNII
"2-(1,1-Dimethylethyl)-1,4-benzenediol",7732,good,english,,
"2-t-Butyl-1,4-benzenediol",7732,good,english,,
2-t-Butylhydroquinone,7732,good,english,,
"2-tert-Butyl-1,4-benzenediol",7732,good,english,,
"2-tert-Butyl(1,4)hydroquinone",7732,good,english,,
2-tert-butylhydroquinone,7732,good,english,,
2-Tertiary-butylhydroquinone,7732,good,english,,
Mono-tert-butylhydroquinone,7732,good,english,,
Mono-tertiarybutylhydroquinone,7732,good,english,,
MTBHQ,7732,good,english,,
t-Butyl hydroquinone,7732,good,english,,
t-Butylhydroquinone,7732,good,english,,
TBHQ,7732,good,english,,
"tert-Butyl-1,4-benzenediol",7732,good,english,,
tert-Butylhydroquinone,7732,good,english,,
tertiary-Butylhydroquinone,7732,good,english,,
N-[(Benzyloxy)carbonyl]-L-valyl-N-[(2S)-1-carboxy-4-fluoro-3-oxo-2-butanyl]-L-alaninamide,7750,good,english,,
Z-VAD-FMK,7750,good,english,,
"2-(3,6-dihydroxyxanthen-9-yl)benzoic acid",7770,good,english,,
(17-alpha)-17-Hydroxyandrost-4-en-3-one,7774,good,english,,
17-alpha-Hydroxyandrost-4-en-3-one,7774,good,english,,
17-alpha-Testosterone,7774,good,english,,
17-Epitestosterone,7774,good,english,,
17alpha-cis-Testosterone,7774,good,english,,
cis-Testosterone,7774,good,english,,
Isotestosterone,7774,good,english,,
2-Phenyl-4-benzopyron,7782,good,english,,
2-Phenyl-4-chromone,7782,good,english,,
2-phenyl-4H-1-benzopyran-4-one,7782,good,english,,
2-phenyl-4H-benzopyran-4-one,7782,good,english,,
2-phenyl-γ-benzopyrone,7782,good,english,,
2-Phenylbenzopyran-4-one,7782,good,english,,
2-phenylchromone,7782,good,english,,
Flavon,7782,good,english,,
(−)-famoxadone,7784,good,english,,
(S)-(−)-famoxadone,7784,good,english,,
"(S)-5-Methyl-5-(4-phenoxy-phenyl)-3-phenylamino-oxazolidine-2,4-dione",7784,good,english,,
"(2E,6E)-farnesol diphosphate",7786,good,english,,
"(2E,6E)-farnesyl diphosphate",7786,good,english,,
"(2E,6E)-farnesyl pyrophosphate",7786,good,english,,
(all-E)-farnesyl diphosphate,7786,good,english,,
"(E,E)-farnesyl pyrophosphate",7786,good,english,,
"2-trans,6-trans-farnesyl diphosphate",7786,good,english,,
all-trans-farnesyl pyrophosphate,7786,good,english,,
Farnesyl pyrophosphate,7786,good,english,,
"2-(3,4-Dihydroxyphenyl)-3,7-dihydroxy-4H-1-benzopyran-4-one",7801,good,english,,
"3,3',4',7-Tetrahydroxyflavone",7801,good,english,,
"3,7,3',4'-tetrahydroxyflavone",7801,good,english,,
5-Desoxyquercetin,7801,good,english,,
"7,3',4'-Trihydroxyflavonol",7801,good,english,,
"2',4,4',6'-Tetrahydroxy-Dihydrochalcone",7816,good,english,,
"2',4,4',6'-Tetrahydroxydihydrochalcone",7816,good,english,,
Dihydronaringenin,7816,good,english,,
Phloretol,7816,good,english,,
(+)-gibberellic acid,7820,good,english,,
GA3,7820,good,english,,
Gibberellic acid GA3,7820,good,english,,
Gibberellin,7820,good,english,,
Gibberellin 3,7820,good,english,,
Gibberellin A3,7820,good,english,,
